latitude,longitude,TaskID,clientName,Status,Team
24.44588843,39.67262931,61356570,,S-STCKR,nabil
24.44882513,39.63530899,64259679,,S-STCKR,nabil
24.43577877,39.63335197,61456002,,S-STCKR,nabil
24.4392633,39.68381669,61257643,,S-STCKR,nabil
24.44081731,39.6864608,61179640,,S-STCKR,nabil
24.43946658,39.66462536,61299839,,S-STCKR,nabil
24.44427391,39.66379487,61406586,,S-STCKR,nabil
24.43950234,39.67570813,61409183,,S-STCKR,nabil
24.43989342,39.67640763,61457431,,S-STCKR,nabil
24.44805489,39.675328,61356541,,S-STCKR,nabil
24.45032276,39.67847488,61457398,,S-STCKR,nabil
24.4393093,39.68370013,61257646,,S-STCKR,waqas
24.44710949,39.68640644,61257600,,S-STCKR,waqas
24.43905287,39.68065825,61299418,,S-STCKR,waqas
24.4501025,39.6282929,61373536,,S-STCKR,waqas
24.45343873,39.67800666,61356554,,S-STCKR,waqas
24.43915184,39.67705115,61299916,,S-STCKR,waqas
24.44037672,39.68304586,61257351,,S-STCKR,waqas
24.44532945,39.68666377,64261999,,S-STCKR,waqas
24.44691024,39.68568918,61257335,,S-STCKR,waqas
24.43961808,39.67235505,61244326,,S-STCKR,waqas
24.44161482,39.6593959,61403431,,S-STCKR,waqas
24.4550049,39.66861397,61457882,,S-STCKR,waqas
24.44019621,39.65901987,61407106,,S-STCKR,waqas
24.44971896,39.67763279,61356545,,S-STCKR,waqas
24.43831127,39.6841014,61257617,,S-STCKR,waqas
24.43870933,39.68348879,61257613,,S-STCKR,waqas
24.44034703,39.68170619,61457360,,S-STCKR,waqas
24.44963247,39.62897206,61507656,,S-STCKR,waqas
24.44225225,39.65569204,61455894,,S-STCKR,waqas
24.44615873,39.68475366,61596232,,S-STCKR,waqas
24.44963213,39.67822208,61456190,,S-STCKR,waqas
24.43723848,39.67865429,61299868,,S-STCKR,waqas
24.4498545,39.6846738,61262816,,S-STCKR,waqas
24.45244234,39.62505416,61500743,,S-STCKR,waqas
24.46422132,39.66775185,61373618,,S-STCKR,waqas
24.45544562,39.67089055,61373427,,S-STCKR,waqas
24.43438122,39.6742374,61299762,,S-STCKR,waqas
24.45548289,39.6207148,61507279,,S-STCKR,waqas
24.44965826,39.67399928,61406914,,S-STCKR,waqas
24.44115438,39.6845256,61257403,,S-STCKR,waqas
24.44676964,39.68881357,61456343,,S-STCKR,waqas
24.45525983,39.624353,61509557,,S-STCKR,waqas
24.43867807,39.68360012,61257373,,S-STCKR,waqas
24.4435026,39.6627232,61403625,,S-STCKR,waqas
24.43553624,39.67730024,61299977,,S-STCKR,waqas
24.45616805,39.62464951,61508658,,S-STCKR,waqas
24.43976578,39.67149662,61409140,,S-STCKR,waqas
24.44345269,39.66324952,61356597,,S-STCKR,waqas
24.45496431,39.67216884,61458177,,S-STCKR,waqas
24.43939331,39.67159225,61409194,,S-STCKR,waqas
24.44020245,39.66749169,61457363,,S-STCKR,waqas
24.44068071,39.65912199,61407097,,S-STCKR,waqas
24.44675048,39.68858761,61456133,,S-STCKR,waqas
24.4364476,39.6819033,61299444,,S-STCKR,waqas
24.44416543,39.66396489,61406594,,S-STCKR,waqas
24.43973226,39.67523561,61299912,,S-STCKR,waqas
24.44551399,39.69417387,64146309,,S-STCKR,waqas
24.45070824,39.68207168,61456094,,S-STCKR,waqas
24.46583228,39.66535269,61360552,,S-STCKR,waqas
24.44239033,39.68446067,61257598,,S-STCKR,waqas
24.44068444,39.67190742,61458206,,S-STCKR,waqas
24.45022326,39.62382292,61507617,,S-STCKR,waqas
24.4465704,39.68634162,61257870,,S-STCKR,waqas
24.46091162,39.62380043,61508011,,S-STCKR,waqas
24.44364193,39.68068599,61456144,,S-STCKR,waqas
24.43995584,39.68328934,61257355,,S-STCKR,waqas
24.44901958,39.68679059,58943091,,S-STCKR,waqas
24.46489659,39.6343576,61496674,,S-STCKR,waqas
24.44463666,39.62478954,61589443,,S-STCKR,waqas
24.44648838,39.67385823,61401827,,S-STCKR,waqas
